"Annual commercial landings and effort for Dive fisheries in the Pacific Region, by Pacific Fishery Management Area (PFMA) and Subarea.",,,,,,,,,
"All data available through 2025, by calendar year",,,,,,,,,
"Harvest log data from Dive Fisheries fisheries are made available as a whole season after the season ends; therefore, data from 2025-26 Season are not yet available.",,,,,,,,,
,Fishery,Last Date Available,,,,,,,
Geoduck and Horseclam,84C,2016,7,12,5,9626,61388,,
Geoduck and Horseclam,84C,2016,7,25,11,22163,150283,,
Geoduck and Horseclam,84C,2016,7,27,9,6021,46620,,
Geoduck and Horseclam,84C,2016,7,31,9,24872,187363,,
Geoduck and Horseclam,84C,2016,7,Total,23,100328,693739,,
Geoduck and Horseclam,84C,2016,9,1,8,8388,46040,,
Geoduck and Horseclam,84C,2016,9,2,6,2587,13211,,
Geoduck and Horseclam,84C,2016,9,12,7,2676,13989,,
Geoduck and Horseclam,84C,2016,9,Total,8,13651,73240,,
Geoduck and Horseclam,84C,2016,10,1,6,3525,21244,,
Geoduck and Horseclam,84C,2016,10,3,8,8373,36609,,
Geoduck and Horseclam,84C,2016,10,4,5,5433,24868,,
Geoduck and Horseclam,84C,2016,10,Total,10,17331,82721,,
Geoduck and Horseclam,84C,2016,12,11,6,5717,39835,,
Geoduck and Horseclam,84C,2016,12,15,6,5783,31054,,
Geoduck and Horseclam,84C,2016,12,16,4,2713,17779,,
Geoduck and Horseclam,84C,2016,12,Total,6,14213,88668,,
Geoduck and Horseclam,84C,2016,14,10,7,22724,**,,
Geoduck and Horseclam,84C,2016,14,15,1,1090,*,,
Geoduck and Horseclam,84C,2016,14,Total,7,23814,106658,,
Geoduck and Horseclam,84C,2016,16,2,6,4896,21081,,
Geoduck and Horseclam,84C,2016,16,Total,6,4896,21081,,
Geoduck and Horseclam,84C,2016,17,5,1,210,*,,
Geoduck and Horseclam,84C,2016,17,6,1,335,*,,
Geoduck and Horseclam,84C,2016,17,8,2,240,*,,
Geoduck and Horseclam,84C,2016,17,10,5,2420,9554,,
Geoduck and Horseclam,84C,2016,17,16,3,2803,21238,,
Geoduck and Horseclam,84C,2016,17,18,5,4267,10233,,
Geoduck and Horseclam,84C,2016,17,Total,8,10275,44968,,
Geoduck and Horseclam,84C,2016,18,7,3,1405,9234,,
Geoduck and Horseclam,84C,2016,18,Total,3,1405,9234,,
Geoduck and Horseclam,84C,2016,19,5,4,1868,6103,,
Geoduck and Horseclam,84C,2016,19,Total,4,1868,6103,,
Geoduck and Horseclam,84C,2016,23,5,3,1718,**,,
Geoduck and Horseclam,84C,2016,23,6,4,2876,15268,,
Geoduck and Horseclam,84C,2016,23,8,2,391,*,,
Geoduck and Horseclam,84C,2016,23,9,4,2073,11353,,
Geoduck and Horseclam,84C,2016,23,10,6,5876,27367,,
Geoduck and Horseclam,84C,2016,23,Total,8,12934,66716,,
Geoduck and Horseclam,84C,2016,24,2,2,1215,*,,
Geoduck and Horseclam,84C,2016,24,3,1,855,*,,
Geoduck and Horseclam,84C,2016,24,4,1,49,*,,
Geoduck and Horseclam,84C,2016,24,6,9,59845,232933,,
Geoduck and Horseclam,84C,2016,24,7,9,13907,49507,,
Geoduck and Horseclam,84C,2016,24,8,6,7615,40120,,
Geoduck and Horseclam,84C,2016,24,9,4,8878,31667,,
Geoduck and Horseclam,84C,2016,24,14,2,342,*,,
Geoduck and Horseclam,84C,2016,24,Total,10,92706,366414,,
Geoduck and Horseclam,84C,2016,25,6,3,883,1807,,
Geoduck and Horseclam,84C,2016,25,13,4,2262,6673,,
Geoduck and Horseclam,84C,2016,25,Total,4,3145,8480,,
Geoduck and Horseclam,84C,2016,26,1,1,60,*,,
Geoduck and Horseclam,84C,2016,26,6,4,4741,**,,
Geoduck and Horseclam,84C,2016,26,Total,4,4801,15708,,
Geoduck and Horseclam,84C,2016,29,5,5,2831,14183,,
Geoduck and Horseclam,84C,2016,29,Total,5,2831,14183,,
Geoduck and Horseclam,84C,2017,4,2,13,15033,123338,,
Geoduck and Horseclam,84C,2017,4,3,5,1397,13056,,
Geoduck and Horseclam,84C,2017,4,4,13,14688,129117,,
Geoduck and Horseclam,84C,2017,4,9,13,35406,267792,,
Geoduck and Horseclam,84C,2017,4,Total,16,66524,533303,,
Geoduck and Horseclam,84C,2017,5,10,9,11238,80526,,
Geoduck and Horseclam,84C,2017,5,11,2,750,*,,
Geoduck and Horseclam,84C,2017,5,12,9,26016,169533,,
Geoduck and Horseclam,84C,2017,5,13,6,2297,13986,,
Geoduck and Horseclam,84C,2017,5,17,9,8618,67382,,
Geoduck and Horseclam,84C,2017,5,19,2,355,*,,
Geoduck and Horseclam,84C,2017,5,22,10,15121,121553,,
Geoduck and Horseclam,84C,2017,5,Total,19,64395,461766,,
Geoduck and Horseclam,84C,2017,6,5,4,981,7487,,
Geoduck and Horseclam,84C,2017,6,9,10,23294,177037,,
Geoduck and Horseclam,84C,2017,6,10,15,22637,174003,,
Geoduck and Horseclam,84C,2017,6,11,5,1515,8266,,
Geoduck and Horseclam,84C,2017,6,12,10,4039,29008,,
Geoduck and Horseclam,84C,2017,6,13,13,27878,253673,,
Geoduck and Horseclam,84C,2017,6,14,9,6259,47568,,
Geoduck and Horseclam,84C,2017,6,19,11,11565,91972,,
Geoduck and Horseclam,84C,2017,6,Total,22,98168,789014,,
Geoduck and Horseclam,84C,2017,7,18,4,794,5064,,
Geoduck and Horseclam,84C,2017,7,25,16,17932,126245,,
Geoduck and Horseclam,84C,2017,7,27,17,41139,244864,,
Geoduck and Horseclam,84C,2017,7,28,12,5618,46280,,
Geoduck and Horseclam,84C,2017,7,Total,18,65483,422453,,
Geoduck and Horseclam,84C,2017,8,4,14,7160,49763,,
Geoduck and Horseclam,84C,2017,8,Total,14,7160,49763,,
Geoduck and Horseclam,84C,2017,12,6,1,592,*,,
Geoduck and Horseclam,84C,2017,12,8,3,3246,**,,
Geoduck and Horseclam,84C,2017,12,16,4,4833,42069,,
Geoduck and Horseclam,84C,2017,12,Total,4,8671,61665,,
Geoduck and Horseclam,84C,2017,14,1,3,1720,9875,,
Geoduck and Horseclam,84C,2017,14,3,2,730,*,,
Geoduck and Horseclam,84C,2017,14,4,5,5275,21707,,
Geoduck and Horseclam,84C,2017,14,5,5,24093,116929,,
Geoduck and Horseclam,84C,2017,14,8,4,1743,**,,
Geoduck and Horseclam,84C,2017,14,10,5,12253,48717,,
Geoduck and Horseclam,84C,2017,14,Total,6,45814,208540,,
Geoduck and Horseclam,84C,2017,16,1,1,235,*,,
Geoduck and Horseclam,84C,2017,16,2,3,3510,**,,
Geoduck and Horseclam,84C,2017,16,19,5,5049,28745,,
Geoduck and Horseclam,84C,2017,16,20,5,3448,16789,,
Geoduck and Horseclam,84C,2017,16,21,5,9538,56072,,
Geoduck and Horseclam,84C,2017,16,Total,5,21780,119077,,
Geoduck and Horseclam,84C,2017,17,16,2,2087,*,,
Geoduck and Horseclam,84C,2017,17,Total,2,2087,*,,
Geoduck and Horseclam,84C,2017,18,7,5,3557,17936,,
Geoduck and Horseclam,84C,2017,18,Total,5,3557,17936,,
Geoduck and Horseclam,84C,2017,19,5,2,822,*,,
Geoduck and Horseclam,84C,2017,19,Total,2,822,*,,
Geoduck and Horseclam,84C,2017,23,5,4,1565,9313,,
Geoduck and Horseclam,84C,2017,23,6,7,2734,15416,,
Geoduck and Horseclam,84C,2017,23,8,1,275,*,,
Geoduck and Horseclam,84C,2017,23,9,8,1693,**,,
Geoduck and Horseclam,84C,2017,23,10,7,4801,21728,,
Geoduck and Horseclam,84C,2017,23,Total,10,11068,56708,,
Geoduck and Horseclam,84C,2017,24,2,2,1457,*,,
Geoduck and Horseclam,84C,2017,24,3,2,698,*,,
Geoduck and Horseclam,84C,2017,24,4,1,662,*,,
Geoduck and Horseclam,84C,2017,24,6,9,55868,234123,,
Geoduck and Horseclam,84C,2017,24,7,7,9918,38599,,
Geoduck and Horseclam,84C,2017,24,8,4,7110,29628,,
Geoduck and Horseclam,84C,2017,24,9,2,2660,*,,
Geoduck and Horseclam,84C,2017,24,14,1,620,*,,
Geoduck and Horseclam,84C,2017,24,Total,10,78993,321982,,
Geoduck and Horseclam,84C,2017,106,2,8,16090,131914,,
Geoduck and Horseclam,84C,2017,106,Total,8,16090,131914,,
Geoduck and Horseclam,84C,2018,2,8,6,13786,93634,,
Geoduck and Horseclam,84C,2018,2,9,5,3096,18477,,
Geoduck and Horseclam,84C,2018,2,11,11,35354,254383,,
Geoduck and Horseclam,84C,2018,2,12,7,18624,143935,,
Geoduck and Horseclam,84C,2018,2,13,2,1003,*,,
Geoduck and Horseclam,84C,2018,2,14,9,18314,152649,,
Geoduck and Horseclam,84C,2018,2,15,9,19547,158622,,
Geoduck and Horseclam,84C,2018,2,17,6,10862,86188,,
Geoduck and Horseclam,84C,2018,2,18,11,7499,54713,,
Geoduck and Horseclam,84C,2018,2,19,4,3586,22804,,
Geoduck and Horseclam,84C,2018,2,31,12,14824,112431,,
Geoduck and Horseclam,84C,2018,2,32,2,1025,*,,
Geoduck and Horseclam,84C,2018,2,33,1,195,*,,
Geoduck and Horseclam,84C,2018,2,49,5,2581,17013,,
Geoduck and Horseclam,84C,2018,2,50,4,2557,20060,,
Geoduck and Horseclam,84C,2018,2,52,1,130,*,,
Geoduck and Horseclam,84C,2018,2,53,7,5485,41302,,
Geoduck and Horseclam,84C,2018,2,55,4,2774,22079,,
Geoduck and Horseclam,84C,2018,2,58,1,325,*,,
Geoduck and Horseclam,84C,2018,2,63,7,1889,12036,,
Geoduck and Horseclam,84C,2018,2,65,5,1071,5796,,
Geoduck and Horseclam,84C,2018,2,66,3,500,1906,,
Geoduck and Horseclam,84C,2018,2,68,1,148,*,,
Geoduck and Horseclam,84C,2018,2,70,6,5370,28145,,
Geoduck and Horseclam,84C,2018,2,71,6,7130,39160,,
Geoduck and Horseclam,84C,2018,2,75,5,3367,19120,,
Geoduck and Horseclam,84C,2018,2,76,5,5003,31616,,
Geoduck and Horseclam,84C,2018,2,80,1,354,*,,
Geoduck and Horseclam,84C,2018,2,81,4,1864,11396,,
Geoduck and Horseclam,84C,2018,2,82,4,5330,32594,,
Geoduck and Horseclam,84C,2018,2,85,4,880,7485,,
Geoduck and Horseclam,84C,2018,2,87,8,17474,127193,,
Geoduck and Horseclam,84C,2018,2,Total,21,211947,1538263,,
Geoduck and Horseclam,84C,2018,4,2,15,14008,111043,,
Geoduck and Horseclam,84C,2018,4,9,7,1972,16723,,
Geoduck and Horseclam,84C,2018,4,13,14,27565,215279,,
Geoduck and Horseclam,84C,2018,4,Total,16,43545,343045,,
Geoduck and Horseclam,84C,2018,5,11,2,712,*,,
Geoduck and Horseclam,84C,2018,5,13,9,13131,80893,,
Geoduck and Horseclam,84C,2018,5,20,13,20699,172011,,
Geoduck and Horseclam,84C,2018,5,21,6,8774,**,,
Geoduck and Horseclam,84C,2018,5,Total,16,43316,315902,,
Geoduck and Horseclam,84C,2018,6,9,5,4085,33056,,
Geoduck and Horseclam,84C,2018,6,Total,5,4085,33056,,
Geoduck and Horseclam,84C,2018,12,16,2,2245,*,,
Geoduck and Horseclam,84C,2018,12,Total,2,2245,*,,
Geoduck and Horseclam,84C,2018,13,1,1,515,*,,
Geoduck and Horseclam,84C,2018,13,12,1,200,*,,
Geoduck and Horseclam,84C,2018,13,13,2,4275,*,,
Geoduck and Horseclam,84C,2018,13,14,3,2128,8233,,
Geoduck and Horseclam,84C,2018,13,15,3,3236,15760,,
Geoduck and Horseclam,84C,2018,13,16,2,745,*,,
Geoduck and Horseclam,84C,2018,13,Total,4,11099,42637,,
Geoduck and Horseclam,84C,2018,14,5,1,743,*,,
Geoduck and Horseclam,84C,2018,14,7,4,3243,**,,
Geoduck and Horseclam,84C,2018,14,9,3,5099,22590,,
Geoduck and Horseclam,84C,2018,14,11,5,15320,73271,,
Geoduck and Horseclam,84C,2018,14,13,5,12080,65306,,
Geoduck and Horseclam,84C,2018,14,Total,5,36485,179148,,
Geoduck and Horseclam,84C,2018,15,1,3,3434,**,,
Geoduck and Horseclam,84C,2018,15,2,4,10049,46503,,
Geoduck and Horseclam,84C,2018,15,3,2,850,*,,
Geoduck and Horseclam,84C,2018,15,Total,4,14333,65222,,
Geoduck and Horseclam,84C,2018,16,1,1,135,*,,
Geoduck and Horseclam,84C,2018,16,2,5,5830,25196,,
Geoduck and Horseclam,84C,2018,16,22,1,360,*,,
Geoduck and Horseclam,84C,2018,16,Total,5,6325,27893,,
Geoduck and Horseclam,84C,2018,18,7,4,3312,21388,,
Geoduck and Horseclam,84C,2018,18,Total,4,3312,21388,,
Geoduck and Horseclam,84C,2018,19,5,4,1897,6109,,
Geoduck and Horseclam,84C,2018,19,Total,4,1897,6109,,
Geoduck and Horseclam,84C,2018,23,5,5,1823,10031,,
Geoduck and Horseclam,84C,2018,23,6,7,2918,14289,,
Geoduck and Horseclam,84C,2018,23,8,2,539,*,,
Geoduck and Horseclam,84C,2018,23,9,6,1612,**,,
Geoduck and Horseclam,84C,2018,23,10,6,6284,30020,,
Geoduck and Horseclam,84C,2018,23,Total,8,13176,64792,,
Geoduck and Horseclam,84C,2018,24,2,2,1447,*,,
Geoduck and Horseclam,84C,2018,24,3,2,890,*,,
Geoduck and Horseclam,84C,2018,24,4,2,316,*,,
Geoduck and Horseclam,84C,2018,24,6,10,73618,269081,,
Geoduck and Horseclam,84C,2018,24,7,5,11941,41174,,
Geoduck and Horseclam,84C,2018,24,8,5,6742,29832,,
Geoduck and Horseclam,84C,2018,24,9,3,2163,6885,,
Geoduck and Horseclam,84C,2018,24,14,2,416,*,,
Geoduck and Horseclam,84C,2018,24,Total,10,97533,359817,,
Geoduck and Horseclam,84C,2018,26,6,3,2866,10635,,
Geoduck and Horseclam,84C,2018,26,Total,3,2866,10635,,
Geoduck and Horseclam,84C,2018,29,1,1,285,*,,
Geoduck and Horseclam,84C,2018,29,2,1,475,*,,
Geoduck and Horseclam,84C,2018,29,Total,1,760,*,,
Geoduck and Horseclam,84C,2019,2,3,15,32264,210933,,
Geoduck and Horseclam,84C,2019,2,6,11,2523,15784,,
Geoduck and Horseclam,84C,2019,2,7,12,11260,79241,,
Geoduck and Horseclam,84C,2019,2,8,14,13115,85706,,
Geoduck and Horseclam,84C,2019,2,9,5,1105,7060,,
Geoduck and Horseclam,84C,2019,2,11,14,14108,97701,,
Geoduck and Horseclam,84C,2019,2,12,13,10999,79832,,
Geoduck and Horseclam,84C,2019,2,13,8,2822,19768,,
Geoduck and Horseclam,84C,2019,2,17,11,8777,65092,,
Geoduck and Horseclam,84C,2019,2,18,7,6062,46387,,
Geoduck and Horseclam,84C,2019,2,31,8,6766,51167,,
Geoduck and Horseclam,84C,2019,2,Total,18,109801,758671,,
Geoduck and Horseclam,84C,2019,4,1,7,22069,193792,,
Geoduck and Horseclam,84C,2019,4,Total,7,22069,193792,,
Geoduck and Horseclam,84C,2019,6,11,7,11714,65724,,
Geoduck and Horseclam,84C,2019,6,14,7,4127,23877,,
Geoduck and Horseclam,84C,2019,6,15,5,2636,15351,,
Geoduck and Horseclam,84C,2019,6,16,5,1988,11344,,
Geoduck and Horseclam,84C,2019,6,18,9,16367,111975,,
Geoduck and Horseclam,84C,2019,6,19,7,15985,96568,,
Geoduck and Horseclam,84C,2019,6,Total,11,52817,324839,,
Geoduck and Horseclam,84C,2019,7,3,13,15953,94619,,
Geoduck and Horseclam,84C,2019,7,4,6,1152,8806,,
Geoduck and Horseclam,84C,2019,7,8,7,4171,28866,,
Geoduck and Horseclam,84C,2019,7,9,12,15998,84762,,
Geoduck and Horseclam,84C,2019,7,12,7,10293,59862,,
Geoduck and Horseclam,84C,2019,7,18,10,20600,94221,,
Geoduck and Horseclam,84C,2019,7,19,7,2891,12654,,
Geoduck and Horseclam,84C,2019,7,21,5,1340,**,,
Geoduck and Horseclam,84C,2019,7,23,3,1215,7917,,
Geoduck and Horseclam,84C,2019,7,24,5,2144,10955,,
Geoduck and Horseclam,84C,2019,7,25,10,15462,93492,,
Geoduck and Horseclam,84C,2019,7,27,11,24101,134092,,
Geoduck and Horseclam,84C,2019,7,28,1,10,*,,
Geoduck and Horseclam,84C,2019,7,31,6,9316,49557,,
Geoduck and Horseclam,84C,2019,7,32,6,3567,13210,,
Geoduck and Horseclam,84C,2019,7,Total,20,128213,697947,,
Geoduck and Horseclam,84C,2019,8,2,10,32516,182861,,
Geoduck and Horseclam,84C,2019,8,4,10,8243,44211,,
Geoduck and Horseclam,84C,2019,8,Total,12,40759,227072,,
Geoduck and Horseclam,84C,2019,12,11,3,5572,37331,,
Geoduck and Horseclam,84C,2019,12,15,3,4936,32153,,
Geoduck and Horseclam,84C,2019,12,16,3,12549,91823,,
Geoduck and Horseclam,84C,2019,12,Total,3,23057,161307,,
Geoduck and Horseclam,84C,2019,14,7,1,1090,*,,
Geoduck and Horseclam,84C,2019,14,10,7,22230,**,,
Geoduck and Horseclam,84C,2019,14,Total,7,23320,106465,,
Geoduck and Horseclam,84C,2019,16,1,1,50,*,,
Geoduck and Horseclam,84C,2019,16,2,6,5259,**,,
Geoduck and Horseclam,84C,2019,16,Total,6,5309,22037,,
Geoduck and Horseclam,84C,2019,17,5,3,1507,8159,,
Geoduck and Horseclam,84C,2019,17,6,1,309,*,,
Geoduck and Horseclam,84C,2019,17,8,1,267,*,,
Geoduck and Horseclam,84C,2019,17,10,2,1683,*,,
Geoduck and Horseclam,84C,2019,17,16,4,5812,26973,,
Geoduck and Horseclam,84C,2019,17,18,2,1196,*,,
Geoduck and Horseclam,84C,2019,17,19,1,1874,*,,
Geoduck and Horseclam,84C,2019,17,Total,4,12648,53361,,
Geoduck and Horseclam,84C,2019,18,7,6,2111,10492,,
Geoduck and Horseclam,84C,2019,18,Total,6,2111,10492,,
Geoduck and Horseclam,84C,2019,19,5,6,2498,6861,,
Geoduck and Horseclam,84C,2019,19,Total,6,2498,6861,,
Geoduck and Horseclam,84C,2019,23,5,4,1477,9198,,
Geoduck and Horseclam,84C,2019,23,6,3,2290,13079,,
Geoduck and Horseclam,84C,2019,23,7,2,390,*,,
Geoduck and Horseclam,84C,2019,23,8,2,500,*,,
Geoduck and Horseclam,84C,2019,23,9,5,1835,7854,,
Geoduck and Horseclam,84C,2019,23,10,6,6142,26122,,
Geoduck and Horseclam,84C,2019,23,Total,8,12634,61023,,
Geoduck and Horseclam,84C,2019,24,2,3,1302,5408,,
Geoduck and Horseclam,84C,2019,24,3,4,658,**,,
Geoduck and Horseclam,84C,2019,24,6,11,64445,243115,,
Geoduck and Horseclam,84C,2019,24,7,5,8873,33165,,
Geoduck and Horseclam,84C,2019,24,8,6,7311,31811,,
Geoduck and Horseclam,84C,2019,24,9,5,4449,16276,,
Geoduck and Horseclam,84C,2019,24,14,2,198,*,,
Geoduck and Horseclam,84C,2019,24,Total,11,87236,333292,,
Geoduck and Horseclam,84C,2019,29,2,1,1372,*,,
Geoduck and Horseclam,84C,2019,29,5,3,3663,**,,
Geoduck and Horseclam,84C,2019,29,Total,4,5035,18968,,
Geoduck and Horseclam,84C,2020,4,9,4,1050,6279,,
Geoduck and Horseclam,84C,2020,4,Total,4,1050,6279,,
Geoduck and Horseclam,84C,2020,5,10,8,7344,37641,,
Geoduck and Horseclam,84C,2020,5,11,1,853,*,,
Geoduck and Horseclam,84C,2020,5,13,4,6363,33216,,
Geoduck and Horseclam,84C,2020,5,16,5,2459,19144,,
Geoduck and Horseclam,84C,2020,5,17,10,13834,89753,,
Geoduck and Horseclam,84C,2020,5,19,3,880,**,,
Geoduck and Horseclam,84C,2020,5,20,9,5542,45520,,
Geoduck and Horseclam,84C,2020,5,21,7,6582,42659,,
Geoduck and Horseclam,84C,2020,5,22,6,12729,107086,,
Geoduck and Horseclam,84C,2020,5,Total,16,56586,387581,,
Geoduck and Horseclam,84C,2020,6,5,3,1155,8653,,
Geoduck and Horseclam,84C,2020,6,9,13,32078,220397,,
Geoduck and Horseclam,84C,2020,6,10,14,17835,116897,,
Geoduck and Horseclam,84C,2020,6,12,6,1898,13557,,
Geoduck and Horseclam,84C,2020,6,13,20,81886,564076,,
Geoduck and Horseclam,84C,2020,6,16,14,10157,67225,,
Geoduck and Horseclam,84C,2020,6,17,3,1061,7293,,
Geoduck and Horseclam,84C,2020,6,Total,22,146070,998098,,
Geoduck and Horseclam,84C,2020,7,8,1,165,*,,
Geoduck and Horseclam,84C,2020,7,12,8,5074,29399,,
Geoduck and Horseclam,84C,2020,7,17,2,655,*,,
Geoduck and Horseclam,84C,2020,7,18,8,5587,32708,,
Geoduck and Horseclam,84C,2020,7,22,1,105,*,,
Geoduck and Horseclam,84C,2020,7,23,1,435,*,,
Geoduck and Horseclam,84C,2020,7,25,10,11547,70794,,
Geoduck and Horseclam,84C,2020,7,27,17,25696,143668,,
Geoduck and Horseclam,84C,2020,7,28,10,11733,78912,,
Geoduck and Horseclam,84C,2020,7,Total,19,60997,364099,,
Geoduck and Horseclam,84C,2020,8,2,7,5718,33475,,
Geoduck and Horseclam,84C,2020,8,4,3,1526,8638,,
Geoduck and Horseclam,84C,2020,8,Total,8,7244,42113,,
Geoduck and Horseclam,84C,2020,9,1,9,4506,20700,,
Geoduck and Horseclam,84C,2020,9,2,5,1232,5482,,
Geoduck and Horseclam,84C,2020,9,12,5,1248,6433,,
Geoduck and Horseclam,84C,2020,9,Total,10,6986,32615,,
Geoduck and Horseclam,84C,2020,10,3,6,1922,7445,,
Geoduck and Horseclam,84C,2020,10,4,6,3059,13198,,
Geoduck and Horseclam,84C,2020,10,Total,6,4981,20643,,
Geoduck and Horseclam,84C,2020,12,6,2,1945,*,,
Geoduck and Horseclam,84C,2020,12,8,3,3341,**,,
Geoduck and Horseclam,84C,2020,12,16,5,6726,45135,,
Geoduck and Horseclam,84C,2020,12,Total,5,12012,74482,,
Geoduck and Horseclam,84C,2020,14,1,4,2134,10188,,
Geoduck and Horseclam,84C,2020,14,3,2,820,*,,
Geoduck and Horseclam,84C,2020,14,4,4,5831,23374,,
Geoduck and Horseclam,84C,2020,14,5,7,28956,120716,,
Geoduck and Horseclam,84C,2020,14,8,5,1029,4395,,
Geoduck and Horseclam,84C,2020,14,10,2,1105,*,,
Geoduck and Horseclam,84C,2020,14,15,1,513,*,,
Geoduck and Horseclam,84C,2020,14,Total,8,40388,164610,,
Geoduck and Horseclam,84C,2020,16,2,6,3413,13960,,
Geoduck and Horseclam,84C,2020,16,19,4,7938,28110,,
Geoduck and Horseclam,84C,2020,16,20,4,2051,7360,,
Geoduck and Horseclam,84C,2020,16,21,5,9120,31855,,
Geoduck and Horseclam,84C,2020,16,Total,6,22522,81285,,
Geoduck and Horseclam,84C,2020,17,10,1,670,*,,
Geoduck and Horseclam,84C,2020,17,16,1,185,*,,
Geoduck and Horseclam,84C,2020,17,Total,1,855,*,,
Geoduck and Horseclam,84C,2020,18,7,4,1779,8861,,
Geoduck and Horseclam,84C,2020,18,Total,4,1779,8861,,
Geoduck and Horseclam,84C,2020,19,5,5,2774,9543,,
Geoduck and Horseclam,84C,2020,19,Total,5,2774,9543,,
Geoduck and Horseclam,84C,2020,23,8,2,420,*,,
Geoduck and Horseclam,84C,2020,23,9,2,1355,*,,
Geoduck and Horseclam,84C,2020,23,Total,2,1775,*,,
Geoduck and Horseclam,84C,2020,24,6,11,63611,249107,,
Geoduck and Horseclam,84C,2020,24,7,6,8484,32349,,
Geoduck and Horseclam,84C,2020,24,8,5,6331,29225,,
Geoduck and Horseclam,84C,2020,24,9,3,2151,7753,,
Geoduck and Horseclam,84C,2020,24,Total,11,80577,318434,,
Geoduck and Horseclam,84C,2020,106,2,11,12476,96375,,
Geoduck and Horseclam,84C,2020,106,Total,11,12476,96375,,
Geoduck and Horseclam,84C,2021,2,3,8,15147,83462,,
Geoduck and Horseclam,84C,2021,2,6,5,3414,20968,,
Geoduck and Horseclam,84C,2021,2,7,9,7758,54295,,
Geoduck and Horseclam,84C,2021,2,8,9,12355,81941,,
Geoduck and Horseclam,84C,2021,2,9,5,1779,12731,,
Geoduck and Horseclam,84C,2021,2,11,3,4411,24199,,
Geoduck and Horseclam,84C,2021,2,12,6,7923,58515,,
Geoduck and Horseclam,84C,2021,2,13,2,150,*,,
Geoduck and Horseclam,84C,2021,2,49,4,801,3875,,
Geoduck and Horseclam,84C,2021,2,50,5,2115,12303,,
Geoduck and Horseclam,84C,2021,2,52,1,100,*,,
Geoduck and Horseclam,84C,2021,2,53,5,3618,22601,,
Geoduck and Horseclam,84C,2021,2,55,5,2299,12360,,
Geoduck and Horseclam,84C,2021,2,65,3,944,4895,,
Geoduck and Horseclam,84C,2021,2,66,2,515,*,,
Geoduck and Horseclam,84C,2021,2,68,1,265,*,,
Geoduck and Horseclam,84C,2021,2,70,7,4446,24127,,
Geoduck and Horseclam,84C,2021,2,71,10,11563,57147,,
Geoduck and Horseclam,84C,2021,2,75,5,4297,28220,,
Geoduck and Horseclam,84C,2021,2,76,5,3922,24218,,
Geoduck and Horseclam,84C,2021,2,81,2,505,*,,
Geoduck and Horseclam,84C,2021,2,82,8,4855,28484,,
Geoduck and Horseclam,84C,2021,2,83,1,65,*,,
Geoduck and Horseclam,84C,2021,2,85,8,1735,11423,,
Geoduck and Horseclam,84C,2021,2,87,11,18866,125275,,
Geoduck and Horseclam,84C,2021,2,Total,20,113848,699488,,
Geoduck and Horseclam,84C,2021,3,1,14,26333,**,,
Geoduck and Horseclam,84C,2021,3,2,1,130,*,,
Geoduck and Horseclam,84C,2021,3,Total,14,26463,175315,,
Geoduck and Horseclam,84C,2021,4,1,13,32399,214721,,
Geoduck and Horseclam,84C,2021,4,2,19,31569,231145,,
Geoduck and Horseclam,84C,2021,4,3,10,1473,11079,,
Geoduck and Horseclam,84C,2021,4,4,11,9828,78901,,
Geoduck and Horseclam,84C,2021,4,5,3,1452,8745,,
Geoduck and Horseclam,84C,2021,4,9,20,23634,145671,,
Geoduck and Horseclam,84C,2021,4,13,20,31627,244157,,
Geoduck and Horseclam,84C,2021,4,Total,24,131982,934419,,
Geoduck and Horseclam,84C,2021,5,10,1,120,*,,
Geoduck and Horseclam,84C,2021,5,11,8,3079,**,,
Geoduck and Horseclam,84C,2021,5,13,12,10031,56972,,
Geoduck and Horseclam,84C,2021,5,20,22,52657,370726,,
Geoduck and Horseclam,84C,2021,5,22,6,2699,16108,,
Geoduck and Horseclam,84C,2021,5,Total,22,68586,460251,,
Geoduck and Horseclam,84C,2021,12,16,6,6327,36910,,
Geoduck and Horseclam,84C,2021,12,Total,6,6327,36910,,
Geoduck and Horseclam,84C,2021,13,1,2,822,*,,
Geoduck and Horseclam,84C,2021,13,12,1,171,*,,
Geoduck and Horseclam,84C,2021,13,13,2,1155,*,,
Geoduck and Horseclam,84C,2021,13,14,3,2102,8550,,
Geoduck and Horseclam,84C,2021,13,15,3,6976,34106,,
Geoduck and Horseclam,84C,2021,13,16,2,387,*,,
Geoduck and Horseclam,84C,2021,13,Total,3,11613,53428,,
Geoduck and Horseclam,84C,2021,14,7,1,2931,*,,
Geoduck and Horseclam,84C,2021,14,9,1,210,*,,
Geoduck and Horseclam,84C,2021,14,11,6,14146,68377,,
Geoduck and Horseclam,84C,2021,14,13,5,9143,40333,,
Geoduck and Horseclam,84C,2021,14,Total,6,26430,117818,,
Geoduck and Horseclam,84C,2021,15,1,5,4370,**,,
Geoduck and Horseclam,84C,2021,15,2,6,7829,29088,,
Geoduck and Horseclam,84C,2021,15,3,2,2734,*,,
Geoduck and Horseclam,84C,2021,15,Total,6,14933,53529,,
Geoduck and Horseclam,84C,2021,16,2,6,4492,18583,,
Geoduck and Horseclam,84C,2021,16,20,2,1421,*,,
Geoduck and Horseclam,84C,2021,16,21,2,880,*,,
Geoduck and Horseclam,84C,2021,16,22,2,1120,*,,
